FILE_NAME,FILE_LINES,AUTHOR_NAME,AUTHOR_LINES
./benchmarks/bench_rcv1_logreg_convergence.py,238,TomDLT,234
./benchmarks/bench_rcv1_logreg_convergence.py,238,Shubham Bhardwaj,4
./benchmarks/bench_tsne_mnist.py,169,Thomas Moreau,169
./benchmarks/bench_tree.py,124,Brian Holt,82
./benchmarks/bench_tree.py,124,Robert Lutz,18
./benchmarks/bench_tree.py,124,Olivier Grisel,13
./benchmarks/bench_tree.py,124,Lars Buitinck,9
./benchmarks/bench_tree.py,124,Ken Geis,2
./benchmarks/bench_plot_parallel_pairwise.py,46,Mathieu Blondel,34
./benchmarks/bench_plot_parallel_pairwise.py,46,Robert Lutz,9
./benchmarks/bench_plot_parallel_pairwise.py,46,jackmartin,2
./benchmarks/bench_plot_parallel_pairwise.py,46,Robert Layton,1
./benchmarks/bench_plot_svd.py,84,Olivier Grisel,61
./benchmarks/bench_plot_svd.py,84,Ken Geis,7
./benchmarks/bench_plot_svd.py,84,Andreas Mueller,6
./benchmarks/bench_plot_svd.py,84,Lars Buitinck,4
./benchmarks/bench_plot_svd.py,84,Loic Esteve,3
./benchmarks/bench_plot_svd.py,84,Bala Subrahmanyam Varanasi,3
./benchmarks/bench_mnist.py,180,Arnaud Joly,148
./benchmarks/bench_mnist.py,180,Glenn Qian,16
./benchmarks/bench_mnist.py,180,Olivier Grisel,4
./benchmarks/bench_mnist.py,180,Arthur Mensch,4
./benchmarks/bench_mnist.py,180,Andreas Mueller,4
./benchmarks/bench_mnist.py,180,jackmartin,2
./benchmarks/bench_mnist.py,180,TomDLT,2
./benchmarks/bench_sgd_regression.py,150,Peter Prettenhofer,63
./benchmarks/bench_sgd_regression.py,150,Robert Lutz,31
./benchmarks/bench_sgd_regression.py,150,Tom Dupré la Tour,19
./benchmarks/bench_sgd_regression.py,150,Danny Sullivan,13
./benchmarks/bench_sgd_regression.py,150,Gilles Louppe,7
./benchmarks/bench_sgd_regression.py,150,Lars Buitinck,5
./benchmarks/bench_sgd_regression.py,150,Olivier Grisel,4
./benchmarks/bench_sgd_regression.py,150,Andreas Mueller,4
./benchmarks/bench_sgd_regression.py,150,Ken Geis,3
./benchmarks/bench_sgd_regression.py,150,Robert Layton,1
./benchmarks/bench_20newsgroups.py,97,Arnaud Joly,97
./benchmarks/bench_plot_neighbors.py,185,Jake VanderPlas,151
./benchmarks/bench_plot_neighbors.py,185,Robert Lutz,24
./benchmarks/bench_plot_neighbors.py,185,Ken Geis,6
./benchmarks/bench_plot_neighbors.py,185,Olivier Grisel,4
./benchmarks/bench_isolation_forest.py,159,Nicolas Goix,65
./benchmarks/bench_isolation_forest.py,159,Harizo Rajaona,50
./benchmarks/bench_isolation_forest.py,159,Albert Thomas,26
./benchmarks/bench_isolation_forest.py,159,Alexandre Gramfort,17
./benchmarks/bench_isolation_forest.py,159,Taehoon Lee,1
./benchmarks/plot_tsne_mnist.py,30,Thomas Moreau,30
./benchmarks/.gitignore,4,Thomas Moreau,4
./benchmarks/bench_plot_nmf.py,422,Tom Dupré la Tour,393
./benchmarks/bench_plot_nmf.py,422,Vlad Niculae,19
./benchmarks/bench_plot_nmf.py,422,Jean Helie,4
./benchmarks/bench_plot_nmf.py,422,jackmartin,2
./benchmarks/bench_plot_nmf.py,422,Naoya Kanai,2
./benchmarks/bench_plot_nmf.py,422,Loic Esteve,1
./benchmarks/bench_plot_nmf.py,422,Lars Buitinck,1
./benchmarks/bench_lof.py,106,Nicolas Goix,78
./benchmarks/bench_lof.py,106,Albert Thomas,28
./benchmarks/bench_saga.py,244,Arthur Mensch,244
./benchmarks/bench_plot_ward.py,43,Gael Varoquaux,28
./benchmarks/bench_plot_ward.py,43,Robert Lutz,11
./benchmarks/bench_plot_ward.py,43,Alexandre Gramfort,2
./benchmarks/bench_plot_ward.py,43,Ken Geis,1
./benchmarks/bench_plot_ward.py,43,Bala Subrahmanyam Varanasi,1
./benchmarks/bench_plot_omp_lars.py,125,Vlad Niculae,69
./benchmarks/bench_plot_omp_lars.py,125,Alexandre Gramfort,15
./benchmarks/bench_plot_omp_lars.py,125,Robert Lutz,12
./benchmarks/bench_plot_omp_lars.py,125,Lars Buitinck,12
./benchmarks/bench_plot_omp_lars.py,125,Loic Esteve,5
./benchmarks/bench_plot_omp_lars.py,125,Ken Geis,4
./benchmarks/bench_plot_omp_lars.py,125,Olivier Grisel,3
./benchmarks/bench_plot_omp_lars.py,125,Gael Varoquaux,3
./benchmarks/bench_plot_omp_lars.py,125,Saket Choudhary,2
./benchmarks/bench_covertype.py,190,Arnaud Joly,106
./benchmarks/bench_covertype.py,190,Peter Prettenhofer,32
./benchmarks/bench_covertype.py,190,Olivier Grisel,22
./benchmarks/bench_covertype.py,190,Lars Buitinck,13
./benchmarks/bench_covertype.py,190,Bala Subrahmanyam Varanasi,6
./benchmarks/bench_covertype.py,190,jackmartin,3
./benchmarks/bench_covertype.py,190,TomDLT,3
./benchmarks/bench_covertype.py,190,Gilles Louppe,2
./benchmarks/bench_covertype.py,190,Tom Dupré la Tour,1
./benchmarks/bench_covertype.py,190,Robert Layton,1
./benchmarks/bench_covertype.py,190,Paolo Losi,1
