File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;File Lines;Learning;NbOthors
scikit-learn\sklearn\exceptions.py;Raghav RV      ;110;70.51282051282051;Kathy Chen     ;11;7.051282051282051;Andreas Mueller;35;22.435897435897434;YenChenLin     ;2;1.2820512820512822;seales         ;2;1.2820512820512822;156;false;5
scikit-learn\sklearn\externals\joblib\func_inspect.py;Gael Varoquaux   ;210;58.4958217270195;Olivier Grisel   ;124;34.540389972144844;Loic Esteve      ;21;5.8495821727019495;Stefano Lattarini;2;0.5571030640668524;Fabian Pedregosa ;6;1.6713091922005572;359;false;5
scikit-learn\sklearn\metrics\base.py;Arnaud Joly    ;114;91.93548387096774;Lars Buitinck  ;2;1.6129032258064515;Andreas Mueller;4;3.225806451612903;Raghav RV      ;5;4.032258064516129;Joel Nothman   ;3;2.4193548387096775;124;false;5
scikit-learn\sklearn\metrics\cluster\bicluster.py;Kemal Eren        ;73;84.88372093023256;Vlad Niculae      ;3;3.488372093023256;Andreas Mueller   ;9;10.465116279069768;Arnaud Joly       ;3;3.488372093023256;Thomas Unterthiner;2;2.3255813953488373;86;false;5
scikit-learn\sklearn\mixture\bayesian_mixture.py;Thierry Guillemot ;630;80.35714285714286;Olivier Grisel    ;110;14.03061224489796;Andreas Mueller   ;39;4.974489795918367;Melanie Goetz     ;3;0.3826530612244898;Guillaume Lemaitre;6;0.7653061224489796;784;false;5
scikit-learn\sklearn\neighbors\kde.py;Jake VanderPlas     ;177;80.82191780821918;Andreas Mueller     ;30;13.698630136986301;Lars Buitinck       ;4;1.82648401826484;Dougal J. Sutherland;6;2.73972602739726;Guillaume Lemaitre  ;6;2.73972602739726;219;true;5
scikit-learn\sklearn\neighbors\setup.py;Gael Varoquaux ;7;17.073170731707318;Andreas Mueller;2;4.878048780487805;Jake VanderPlas;26;63.41463414634146;Loic Esteve    ;5;12.195121951219512;Thomas Moreau  ;5;12.195121951219512;41;false;5
scikit-learn\sklearn\neural_network\__init__.py;Yann N. Dauphin;6;40;Nelson Liu     ;2;13.333333333333334;Issam Laradji  ;4;26.666666666666668;Joel Nothman   ;2;13.333333333333334;Andreas Mueller;5;33.333333333333336;15;false;5
scikit-learn\sklearn\utils\optimize.py;Fabian Pedregosa ;68;33.333333333333336;TomDLT           ;97;47.549019607843135;Tom Dupré la Tour;4;1.9607843137254901;Manoj Kumar      ;35;17.15686274509804;Joel Nothman     ;4;1.9607843137254901;204;false;5
scikit-learn\sklearn\utils\stats.py;Arnaud Joly;10;40;Naoya Kanai;11;44;Loic Esteve;3;12;yangarbiter;2;8;Manoj Kumar;3;12;25;false;5
scikit-learn\sklearn\utils\sparsetools\setup.py;Naoya Kanai  ;2;13.333333333333334;Robert Layton;10;66.66666666666667;Lars Buitinck;2;13.333333333333334;Doug Coleman ;2;13.333333333333334;Joel Nothman ;3;20;15;false;5
scikit-learn\sklearn\_build_utils\__init__.py;Gael Varoquaux  ;6;7.142857142857143;Arthur Mensch   ;4;4.761904761904762;Loic Esteve     ;51;60.714285714285715;David Cournapeau;25;29.761904761904763;Andreas Mueller ;2;2.380952380952381;84;false;5
scikit-learn\sklearn\__check_build\setup.py;Virgile Fritsch;14;77.77777777777777;Robert Layton  ;2;11.11111111111111;Gael Varoquaux ;2;11.11111111111111;Loic Esteve    ;2;11.11111111111111;Olivier Grisel ;2;11.11111111111111;18;false;5
