File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;File Lines;Learning;NbOthors
scikit-learn\sklearn\covariance\outlier_detection.py;Virgile Fritsch     ;66;33;Robert Layton       ;2;1;Andreas Mueller     ;44;22;Nicolas Goix        ;65;32.5;Raghav RV           ;20;10;Johannes Schönberger;8;4;200;true;6
scikit-learn\sklearn\cross_decomposition\cca_.py;Nelle Varoquaux;88;82.24299065420561;Andreas Mueller;3;2.803738317757009;Mathieu Blondel;2;1.8691588785046729;Joel Nothman   ;10;9.345794392523365;Manoj Kumar    ;4;3.7383177570093458;Loic Esteve    ;5;4.672897196261682;107;false;6
scikit-learn\sklearn\ensemble\__init__.py;Gilles Louppe     ;17;48.57142857142857;Nicolas Goix      ;4;11.428571428571429;Andreas Mueller   ;5;14.285714285714286;Noel Dawe         ;3;8.571428571428571;Peter Prettenhofer;7;20;Sebastian Raschka ;4;11.428571428571429;35;false;6
scikit-learn\sklearn\externals\joblib\memory.py;Gael Varoquaux   ;392;39.04382470119522;Olivier Grisel   ;465;46.31474103585657;Loic Esteve      ;137;13.645418326693227;Fabian Pedregosa ;10;0.9960159362549801;Stefano Lattarini;3;0.29880478087649404;Lars Buitinck    ;2;0.199203187250996;1004;false;6
scikit-learn\sklearn\feature_extraction\__init__.py;Gilles Louppe  ;5;38.46153846153846;Gael Varoquaux ;3;23.076923076923077;Lars Buitinck  ;3;23.076923076923077;Brian Holt     ;2;15.384615384615385;Vlad Niculae   ;2;15.384615384615385;Andreas Mueller;3;23.076923076923077;13;false;6
scikit-learn\sklearn\feature_selection\base.py;Joel Nothman     ;109;89.34426229508196;Olivier Grisel   ;7;5.737704918032787;Andreas Mueller  ;4;3.278688524590164;Taehoon Lee      ;2;1.639344262295082;Manoj Kumar      ;2;1.639344262295082;Vighnesh Birodkar;3;2.459016393442623;122;false;6
scikit-learn\sklearn\feature_selection\variance_threshold.py;Lars Buitinck     ;71;86.58536585365853;Andreas Mueller   ;4;4.878048780487805;Thomas Unterthiner;4;4.878048780487805;Raghav RV         ;4;4.878048780487805;Joel Nothman      ;2;2.4390243902439024;Loic Esteve       ;2;2.4390243902439024;82;true;6
scikit-learn\sklearn\gaussian_process\regression_models.py;Vincent Dubourg   ;84;87.5;Nelson Liu        ;2;2.0833333333333335;Kumar Ashutosh    ;5;5.208333333333333;Joel Nothman      ;4;4.166666666666667;Raghav RV         ;4;4.166666666666667;Alexandre Gramfort;2;2.0833333333333335;96;false;6
scikit-learn\sklearn\manifold\setup.py;Alexander Fabisch      ;21;56.75675675675676;Christopher Erick Moody;11;29.72972972972973;Loic Esteve            ;3;8.108108108108109;Andreas Mueller        ;2;5.405405405405405;Jake VanderPlas        ;3;8.108108108108109;Thomas Moreau          ;2;5.405405405405405;37;false;6
scikit-learn\sklearn\manifold\__init__.py;Gilles Louppe    ;4;33.333333333333336;Jake VanderPlas  ;3;25;Kenneth Lyons    ;3;25;Joel Nothman     ;2;16.666666666666668;Alexander Fabisch;2;16.666666666666668;Andreas Mueller  ;3;25;12;false;6
scikit-learn\sklearn\metrics\cluster\__init__.py;Robert Layton    ;6;20;Gilles Louppe    ;2;6.666666666666667;Olivier Grisel   ;12;40;Andreas Mueller  ;8;26.666666666666668;Thierry Guillemot;5;16.666666666666668;Kemal Eren       ;2;6.666666666666667;30;false;6
scikit-learn\sklearn\neural_network\_base.py;Issam Laradji ;160;63.492063492063494;Nelson Liu    ;2;0.7936507936507936;Naoya Kanai   ;2;0.7936507936507936;Glenn Qian    ;46;18.253968253968253;Olivier Grisel;45;17.857142857142858;seales        ;2;0.7936507936507936;252;false;6
scikit-learn\sklearn\svm\bounds.py;Joel Nothman      ;17;23.28767123287671;Paolo Losi        ;43;58.9041095890411;Lars Buitinck     ;10;13.698630136986301;Andreas Mueller   ;4;5.47945205479452;Jaques Grobler    ;2;2.73972602739726;Alexandre Gramfort;2;2.73972602739726;73;false;6
scikit-learn\sklearn\utils\linear_assignment_.py;Gael Varoquaux;33;11.702127659574469;Lars Buitinck ;215;76.24113475177305;Vlad Niculae  ;22;7.801418439716312;Rémy Léone    ;2;0.7092198581560284;Ben Root      ;12;4.25531914893617;Naoya Kanai   ;3;1.0638297872340425;282;false;6
