File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;Othor7;LineOthor7;Contribution7;Othor8;LineOthor8;Contribution8;File Lines;Learning;NbOthors
scikit-learn\sklearn\kernel_ridge.py;Jan Hendrik Metzen;162;87.56756756756756;Mathieu Blondel   ;9;4.864864864864865;Kathy Chen        ;5;2.7027027027027026;Andreas Mueller   ;5;2.7027027027027026;Clyde-fare        ;3;1.6216216216216217;Robin Schucker    ;3;1.6216216216216217;Hanmin Qin        ;3;1.6216216216216217;YenChenLin        ;2;1.0810810810810811;185;true;8
scikit-learn\sklearn\datasets\setup.py;Fabian Pedregosa;11;50;Mathieu Blondel ;2;9.090909090909092;Olivier Grisel  ;5;22.727272727272727;Andreas Mueller ;2;9.090909090909092;Robert Layton   ;2;9.090909090909092;Lars Buitinck   ;3;13.636363636363637;Loic Esteve     ;2;9.090909090909092;Jake VanderPlas ;2;9.090909090909092;22;false;8
scikit-learn\sklearn\decomposition\__init__.py;Vlad Niculae        ;20;50;Gilles Louppe       ;4;10;Andreas Mueller     ;6;15;Lars Buitinck       ;6;15;Kyle Kastner        ;3;7.5;Alexandre Gramfort  ;2;5;Chyi-Kwei Yau       ;4;10;Christian Osendorfer;2;5;40;false;8
scikit-learn\sklearn\gaussian_process\gpc.py;Jan Hendrik Metzen;695;94.04600811907984;Sergei Lebedev    ;3;0.4059539918809202;Andreas Mueller   ;15;2.029769959404601;Guillaume Lemaitre;12;1.6238159675236807;Joel Nothman      ;8;1.0825439783491204;Albert Thomas     ;7;0.9472259810554804;Josh Karnofsky    ;4;0.5412719891745602;seales            ;2;0.2706359945872801;739;true;8
scikit-learn\sklearn\linear_model\setup.py;Gael Varoquaux    ;6;12.5;Alexandre Gramfort;16;33.333333333333336;Andreas Mueller   ;11;22.916666666666668;Fabian Pedregosa  ;4;8.333333333333334;David Cournapeau  ;2;4.166666666666667;Loic Esteve       ;4;8.333333333333334;Brooke Osborn     ;8;16.666666666666668;Danny Sullivan    ;4;8.333333333333334;48;false;8
scikit-learn\sklearn\linear_model\theil_sen.py;Florian Wilhelm   ;365;93.83033419023137;Gael Varoquaux    ;5;1.2853470437017995;Raghav RV         ;3;0.7712082262210797;Andreas Mueller   ;5;1.2853470437017995;Joel Nothman      ;6;1.5424164524421593;Guillaume Lemaitre;7;1.7994858611825193;Rémy Léone        ;2;0.5141388174807198;Naoya Kanai       ;3;0.7712082262210797;389;true;8
scikit-learn\sklearn\neighbors\lof.py;Nicolas Goix            ;282;94.31438127090301;Osaid Rehman Nasir      ;4;1.3377926421404682;Raghav RV               ;5;1.6722408026755853;Balakumaran Manoharan   ;3;1.0033444816053512;Albert Thomas           ;2;0.6688963210702341;RAKOTOARISON Herilalaina;6;2.0066889632107023;Don86                   ;2;0.6688963210702341;Taehoon Lee             ;2;0.6688963210702341;299;true;8
scikit-learn\sklearn\neighbors\__init__.py;Gilles Louppe  ;5;16.129032258064516;Jake VanderPlas;9;29.032258064516128;Lars Buitinck  ;3;9.67741935483871;Robert Layton  ;2;6.451612903225806;maheshakya     ;3;9.67741935483871;Nicolas Goix   ;4;12.903225806451612;Vlad Niculae   ;10;32.25806451612903;Andreas Mueller;2;6.451612903225806;31;false;8
scikit-learn\sklearn\svm\__init__.py;Fabian Pedregosa;6;21.428571428571427;Gilles Louppe   ;2;7.142857142857143;Gael Varoquaux  ;7;25;Robert Layton   ;2;7.142857142857143;Raghav RV       ;2;7.142857142857143;Paolo Losi      ;2;7.142857142857143;Lars Buitinck   ;3;10.714285714285714;Vlad Niculae    ;11;39.285714285714285;28;false;8
scikit-learn\sklearn\utils\metaestimators.py;Joel Nothman         ;23;11.11111111111111;Andreas Mueller      ;71;34.29951690821256;Nelson Liu           ;2;0.966183574879227;Yichuan Liu          ;94;45.410628019323674;Russell Smith        ;18;8.695652173913043;Viraj Navkal         ;2;0.966183574879227;Joris Van den Bossche;2;0.966183574879227;Adam Kleczewski      ;2;0.966183574879227;207;false;8
scikit-learn\sklearn\utils\sparsefuncs.py;Manoj Kumar       ;215;45.744680851063826;Thomas Unterthiner;100;21.27659574468085;Giorgio Patrini   ;67;14.25531914893617;Naoya Kanai       ;4;0.851063829787234;Raghav RV         ;11;2.3404255319148937;Joel Nothman      ;73;15.53191489361702;Jean Helie        ;5;1.0638297872340425;Loic Esteve       ;2;0.425531914893617;470;false;8
