File;Othor1;LineOthor1;Contribution1;Lines File; Learning ; NbOthors
tensorflow\contrib\batching\__init__.py;Christopher Olston;26;100;26;false;1
tensorflow\contrib\bayesflow\python\ops\csiszar_divergence.py;Joshua V. Dillon;51;100;51;false;1
tensorflow\contrib\bayesflow\python\ops\custom_grad.py;Joshua V. Dillon;34;100;34;false;1
tensorflow\contrib\bayesflow\python\ops\halton_sequence.py;A. Unique TensorFlower;33;100;33;false;1
tensorflow\contrib\bayesflow\python\ops\halton_sequence_impl.py;A. Unique TensorFlower;264;100;264;false;1
tensorflow\contrib\bayesflow\python\ops\layers_util.py;Dustin Tran;191;100;191;false;1
tensorflow\contrib\bayesflow\python\ops\mcmc_diagnostics.py;Ian Langmore;32;100;32;false;1
tensorflow\contrib\bayesflow\python\ops\mcmc_diagnostics_impl.py;Ian Langmore;400;100;400;false;1
tensorflow\contrib\bayesflow\python\ops\metropolis_hastings.py;A. Unique TensorFlower;33;100;33;false;1
tensorflow\contrib\bayesflow\python\ops\metropolis_hastings_impl.py;A. Unique TensorFlower;426;100;426;false;1
tensorflow\contrib\bayesflow\python\ops\optimizers.py;A. Unique TensorFlower;36;100;36;false;1
tensorflow\contrib\bayesflow\python\ops\sgld_optimizer.py;A. Unique TensorFlower;220;100;220;false;1
tensorflow\contrib\bayesflow\python\ops\variable_utils.py;Joshua V. Dillon;29;100;29;false;1
tensorflow\contrib\bayesflow\python\ops\variable_utils_impl.py;Joshua V. Dillon;157;100;157;false;1
tensorflow\contrib\bayesflow\python\ops\variational_sgd_optimizer.py;A. Unique TensorFlower;279;100;279;false;1
tensorflow\contrib\boosted_trees\__init__.py;Yifei Feng;22;100;22;false;1
tensorflow\contrib\boosted_trees\estimator_batch\custom_export_strategy.py;A. Unique TensorFlower;238;100;238;false;1
tensorflow\contrib\boosted_trees\estimator_batch\custom_loss_head.py;A. Unique TensorFlower;73;100;73;false;1
tensorflow\contrib\boosted_trees\estimator_batch\dnn_tree_combined_estimator.py;A. Unique TensorFlower;515;100;515;false;1
tensorflow\contrib\boosted_trees\estimator_batch\estimator.py;A. Unique TensorFlower;227;100;227;false;1
tensorflow\contrib\boosted_trees\estimator_batch\model.py;A. Unique TensorFlower;124;100;124;false;1
tensorflow\contrib\boosted_trees\estimator_batch\trainer_hooks.py;A. Unique TensorFlower;215;100;215;false;1
tensorflow\contrib\boosted_trees\estimator_batch\__init__.py;A. Unique TensorFlower;22;100;22;false;1
tensorflow\contrib\boosted_trees\lib\learner\batch\base_split_handler.py;A. Unique TensorFlower;147;100;147;false;1
tensorflow\contrib\boosted_trees\lib\learner\batch\categorical_split_handler.py;A. Unique TensorFlower;194;100;194;false;1
tensorflow\contrib\boosted_trees\lib\learner\batch\ordinal_split_handler.py;A. Unique TensorFlower;529;100;529;false;1
tensorflow\contrib\boosted_trees\python\__init__.py;Yifei Feng;22;100;22;false;1
tensorflow\contrib\boosted_trees\python\ops\batch_ops_utils.py;A. Unique TensorFlower;135;100;135;false;1
tensorflow\contrib\boosted_trees\python\ops\boosted_trees_ops_loader.py;A. Unique TensorFlower;30;100;30;false;1
tensorflow\contrib\boosted_trees\python\ops\model_ops.py;A. Unique TensorFlower;112;100;112;false;1
tensorflow\contrib\boosted_trees\python\ops\prediction_ops.py;A. Unique TensorFlower;24;100;24;false;1
tensorflow\contrib\boosted_trees\python\ops\quantile_ops.py;A. Unique TensorFlower;203;100;203;false;1
tensorflow\contrib\boosted_trees\python\ops\split_handler_ops.py;A. Unique TensorFlower;25;100;25;false;1
tensorflow\contrib\boosted_trees\python\ops\stats_accumulator_ops.py;A. Unique TensorFlower;207;100;207;false;1
tensorflow\contrib\boosted_trees\python\ops\training_ops.py;A. Unique TensorFlower;25;100;25;false;1
tensorflow\contrib\boosted_trees\python\training\__init__.py;A. Unique TensorFlower;18;100;18;false;1
tensorflow\contrib\boosted_trees\python\training\functions\__init__.py;A. Unique TensorFlower;18;100;18;false;1
tensorflow\contrib\boosted_trees\python\utils\__init__.py;A. Unique TensorFlower;18;100;18;false;1
tensorflow\contrib\cloud\__init__.py;A. Unique TensorFlower;28;100;28;false;1
tensorflow\contrib\cluster_resolver\python\training\gce_cluster_resolver.py;Frank Chen;136;100;136;false;1
tensorflow\contrib\cluster_resolver\python\training\__init__.py;Frank Chen;25;100;25;false;1
tensorflow\contrib\coder\__init__.py;Sung Jin Hwang;26;100;26;false;1
tensorflow\contrib\coder\python\ops\coder_ops.py;Sung Jin Hwang;30;100;30;false;1
tensorflow\contrib\compiler\__init__.py;A. Unique TensorFlower;21;100;21;false;1
tensorflow\contrib\copy_graph\python\__init__.py;A. Unique TensorFlower;20;100;20;false;1
tensorflow\contrib\copy_graph\python\util\__init__.py;A. Unique TensorFlower;20;100;20;false;1
tensorflow\contrib\crf\python\__init__.py;A. Unique TensorFlower;18;100;18;false;1
tensorflow\contrib\crf\python\ops\__init__.py;A. Unique TensorFlower;18;100;18;false;1
tensorflow\contrib\cudnn_rnn\python\layers\__init__.py;James Qin;31;100;31;false;1
tensorflow\contrib\data\python\ops\contrib_op_loader.py;Derek Murray;24;100;24;false;1
tensorflow\contrib\data\python\ops\counter.py;Eugene Brevdo;52;100;52;false;1
tensorflow\contrib\data\python\ops\get_single_element.py;Derek Murray;67;100;67;false;1
tensorflow\contrib\data\python\ops\random_ops.py;Saurabh Saxena;67;100;67;false;1
tensorflow\contrib\data\python\ops\stats_ops.py;Derek Murray;180;100;180;false;1
tensorflow\contrib\data\python\ops\unique.py;Derek Murray;82;100;82;false;1
tensorflow\contrib\decision_trees\__init__.py;Yifei Feng;27;100;27;false;1
tensorflow\contrib\distributions\python\ops\autoregressive.py;Joshua V. Dillon;208;100;208;false;1
tensorflow\contrib\distributions\python\ops\conditional_distribution.py;Eugene Brevdo;75;100;75;false;1
tensorflow\contrib\distributions\python\ops\estimator.py;Joshua V. Dillon;185;100;185;false;1
tensorflow\contrib\distributions\python\ops\half_normal.py;Shanqing Cai;171;100;171;false;1
tensorflow\contrib\distributions\python\ops\independent.py;Joshua V. Dillon;256;100;256;false;1
tensorflow\contrib\distributions\python\ops\kumaraswamy.py;A. Unique TensorFlower;258;100;258;false;1
tensorflow\contrib\distributions\python\ops\moving_stats.py;Joshua V. Dillon;238;100;238;false;1
tensorflow\contrib\distributions\python\ops\bijectors\gumbel.py;A. Unique TensorFlower;124;100;124;false;1
tensorflow\contrib\distributions\python\ops\bijectors\real_nvp.py;A. Unique TensorFlower;282;100;282;false;1
tensorflow\contrib\distributions\python\ops\bijectors\reshape.py;A. Unique TensorFlower;314;100;314;false;1
