File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;Othor7;LineOthor7;Contribution7;Othor8;LineOthor8;Contribution8;Othor9;LineOthor9;Contribution9;Othor10;LineOthor10;Contribution10;File Lines;Learning;NbOthors
tensorflow\contrib\layers\python\layers\optimizers.py;A. Unique TensorFlower;273;61.486486486486484;Olivia Nordquist      ;7;1.5765765765765767;Illia Polosukhin      ;115;25.9009009009009;Justine Tunney        ;26;5.8558558558558556;Michael Case          ;2;0.45045045045045046;Jonathan Hseu         ;6;1.3513513513513513;Patrick Nguyen        ;11;2.4774774774774775;Martin Wicke          ;4;0.9009009009009009;Lukasz Kaiser         ;2;0.45045045045045046;Dan Mané              ;7;1.5765765765765767;444;false;10
tensorflow\contrib\learn\__init__.py;A. Unique TensorFlower;36;34.95145631067961;Vijay Vasudevan       ;18;17.475728155339805;Illia Polosukhin      ;4;3.883495145631068;Martin Wicke          ;25;24.271844660194176;Zakaria Haque         ;13;12.62135922330097;Dan Ringwalt          ;2;1.941747572815534;Dandelion Mané        ;3;2.912621359223301;Yuan ;5;4.854368932038835;Benoit Steiner        ;2;1.941747572815534;Jianwei Xie           ;4;3.883495145631068;103;false;10
tensorflow\contrib\learn\python\learn\graph_actions.py;A. Unique TensorFlower;246;33.74485596707819;Martin Wicke          ;251;34.43072702331962;Illia Polosukhin      ;167;22.90809327846365;Yutaka Leon           ;8;1.0973936899862826;Mustafa Ispir         ;41;5.6241426611796985;Wei Ho                ;10;1.3717421124828533;Jonathan Hseu         ;9;1.2345679012345678;Dandelion Mané        ;2;0.27434842249657065;Benoit Steiner        ;2;0.27434842249657065;Patrick Nguyen        ;2;0.27434842249657065;729;false;10
tensorflow\contrib\learn\python\learn\estimators\linear.py;A. Unique TensorFlower;650;67.49740394600208;Vijay Vasudevan       ;6;0.6230529595015576;Martin Wicke          ;4;0.4153686396677051;Phil Stahlfeld        ;81;8.411214953271028;Mustafa Ispir         ;54;5.607476635514018;张志豪                ;4;0.4153686396677051;Zakaria Haque         ;126;13.08411214953271;David Soergel         ;31;3.2191069574247146;Jonathan Hseu         ;9;0.9345794392523364;Shanqing Cai          ;7;0.726895119418484;963;false;10
tensorflow\contrib\learn\python\learn\ops\seq2seq_ops.py;A. Unique TensorFlower;114;76.51006711409396;Vijay Vasudevan       ;13;8.724832214765101;Martin Wicke          ;5;3.3557046979865772;Jianwei Xie           ;4;2.684563758389262;Illia Polosukhin      ;5;3.3557046979865772;Yuan ;3;2.0134228187919465;Lukasz Kaiser         ;5;3.3557046979865772;Patrick Nguyen        ;5;3.3557046979865772;drpngx                ;2;1.342281879194631;Andreas Solleder      ;2;1.342281879194631;149;false;10
tensorflow\python\ops\gradient_checker.py;A. Unique TensorFlower;16;4.232804232804233;Manjunath Kudlur      ;201;53.17460317460318;Vijay Vasudevan       ;43;11.375661375661375;Olivia Nordquist      ;2;0.5291005291005291;Anna R                ;4;1.0582010582010581;Eugene Brevdo         ;50;13.227513227513228;Geoffrey Irving       ;64;16.93121693121693;Zongheng Yang         ;2;0.5291005291005291;Frank Chen            ;3;0.7936507936507936;Ian Langmore          ;2;0.5291005291005291;378;false;10
tensorflow\python\ops\linalg_ops.py;A. Unique TensorFlower;459;79.82608695652173;Manjunath Kudlur      ;22;3.8260869565217392;Vijay Vasudevan       ;5;0.8695652173913043;Ian Langmore          ;38;6.608695652173913;Yifei Feng            ;26;4.521739130434782;Anna R                ;9;1.565217391304348;Jonathan Hseu         ;14;2.4347826086956523;Olivia Nordquist      ;5;0.8695652173913043;Martin Wicke          ;2;0.34782608695652173;Alexandre Passos      ;4;0.6956521739130435;575;false;10
tensorflow\python\ops\lookup_ops.py;Yutaka Leon           ;1161;89.23904688700999;A. Unique TensorFlower;105;8.070714834742505;Alexandre Passos      ;8;0.6149116064565718;David Soergel         ;5;0.3843197540353574;Anna R                ;4;0.3074558032282859;Shanqing Cai          ;2;0.15372790161414296;RJ Ryan               ;5;0.3843197540353574;Frank Chen            ;3;0.23059185242121444;Max Galkin            ;15;1.1529592621060722;Andrew Harp           ;2;0.15372790161414296;1301;false;10
tensorflow\python\ops\distributions\distribution.py;A. Unique TensorFlower;381;31.75;Eugene Brevdo         ;325;27.083333333333332;Joshua V. Dillon      ;383;31.916666666666668;Charles Nicholson     ;4;0.3333333333333333;Anna R                ;8;0.6666666666666666;Olivia Nordquist      ;3;0.25;Shanqing Cai          ;2;0.16666666666666666;Jonathan Hseu         ;24;2;Patrick Nguyen        ;4;0.3333333333333333;Ian Langmore          ;75;6.25;1200;false;10
tensorflow\python\platform\resource_loader.py;A. Unique TensorFlower;20;14.814814814814815;Manjunath Kudlur      ;22;16.296296296296298;David G. Andersen     ;16;11.851851851851851;Patrick Nguyen        ;19;14.074074074074074;Gunhan Gulsoy         ;44;32.592592592592595;Vijay Vasudevan       ;5;3.7037037037037037;Charles Nicholson     ;4;2.962962962962963;Anna R                ;7;5.185185185185185;Dan Smilkov           ;3;2.2222222222222223;Dan Mané              ;4;2.962962962962963;135;false;10
tensorflow\python\summary\summary.py;Dan Mané              ;244;67.40331491712708;A. Unique TensorFlower;42;11.602209944751381;Dandelion Mané        ;13;3.591160220994475;Patrick Nguyen        ;6;1.6574585635359116;Shanqing Cai          ;32;8.839779005524862;Anna R                ;9;2.4861878453038675;Jonathan Hseu         ;13;3.591160220994475;Dandelion Man?        ;6;1.6574585635359116;Martin Wicke          ;2;0.5524861878453039;Jianwei Xie           ;4;1.1049723756906078;362;false;10
