File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;File Lines;Learning;NbOthors
tensorflow\contrib\bayesflow\python\__init__.py;A. Unique TensorFlower;1;5.2631578947368425;Eugene Brevdo         ;19;100;19;false;2
tensorflow\contrib\bayesflow\python\ops\csiszar_divergence_impl.py;Joshua V. Dillon      ;1085;98.19004524886878;A. Unique TensorFlower;21;1.9004524886877827;1105;false;2
tensorflow\contrib\bayesflow\python\ops\custom_grad_impl.py;Joshua V. Dillon;107;97.27272727272727;Yifei Feng      ;4;3.6363636363636362;110;false;2
tensorflow\contrib\bayesflow\python\ops\hmc.py;A. Unique TensorFlower;27;87.09677419354838;Joshua V. Dillon      ;5;16.129032258064516;31;false;2
tensorflow\contrib\bayesflow\python\ops\layers.py;Joshua V. Dillon;34;50.74626865671642;Dustin Tran     ;34;50.74626865671642;67;false;2
tensorflow\contrib\boosted_trees\python\training\functions\gbdt_batch.py;A. Unique TensorFlower;1027;99.90272373540856;Andrew Harp           ;2;0.19455252918287938;1028;false;2
tensorflow\contrib\boosted_trees\python\utils\losses.py;A. Unique TensorFlower;211;99.06103286384976;Yukun Chen            ;3;1.408450704225352;213;false;2
tensorflow\contrib\cluster_resolver\__init__.py;Frank Chen ;28;70;Mark Daoust;13;32.5;40;false;2
tensorflow\contrib\cluster_resolver\python\training\cluster_resolver.py;Frank Chen       ;169;98.83040935672514;Yuan ;3;1.7543859649122806;171;false;2
tensorflow\contrib\cluster_resolver\python\training\tpu_cluster_resolver.py;Frank Chen            ;147;98;A. Unique TensorFlower;4;2.6666666666666665;150;false;2
tensorflow\contrib\data\python\ops\enumerate_ops.py;A. Unique TensorFlower;57;98.27586206896552;Derek Murray          ;2;3.4482758620689653;58;false;2
tensorflow\contrib\data\python\ops\iterator_ops.py;Saurabh Saxena        ;76;98.7012987012987;A. Unique TensorFlower;2;2.5974025974025974;77;false;2
tensorflow\contrib\data\python\ops\prefetching_ops.py;Rohan Jain  ;47;92.15686274509804;Derek Murray;5;9.803921568627452;51;false;2
tensorflow\contrib\data\python\ops\resampling.py;A. Unique TensorFlower;165;87.76595744680851;Derek Murray          ;24;12.76595744680851;188;false;2
tensorflow\contrib\distributions\python\ops\cauchy.py;Yifei Feng      ;209;94.57013574660634;Joshua V. Dillon;13;5.882352941176471;221;false;2
tensorflow\contrib\distributions\python\ops\mixture_same_family.py;Joshua V. Dillon      ;309;94.4954128440367;A. Unique TensorFlower;19;5.81039755351682;327;false;2
tensorflow\contrib\distributions\python\ops\mvn_diag.py;Joshua V. Dillon;225;95.74468085106383;Ian Langmore    ;11;4.680851063829787;235;false;2
tensorflow\contrib\distributions\python\ops\poisson_lognormal.py;Joshua V. Dillon;424;99.76470588235294;Sourabh Bajaj   ;2;0.47058823529411764;425;false;2
tensorflow\contrib\distributions\python\ops\sample_stats.py;Ian Langmore          ;521;99.80842911877394;A. Unique TensorFlower;2;0.3831417624521073;522;false;2
tensorflow\contrib\distributions\python\ops\sinh_arcsinh.py;Ian Langmore    ;216;99.53917050691244;Joshua V. Dillon;2;0.9216589861751152;217;false;2
tensorflow\contrib\distributions\python\ops\vector_exponential_diag.py;Ian Langmore    ;194;98.4771573604061;Joshua V. Dillon;4;2.030456852791878;197;false;2
tensorflow\contrib\distributions\python\ops\vector_laplace_diag.py;Ian Langmore    ;228;98.27586206896552;Joshua V. Dillon;5;2.1551724137931036;232;false;2
tensorflow\contrib\distributions\python\ops\vector_sinh_arcsinh_diag.py;Ian Langmore    ;264;99.62264150943396;Joshua V. Dillon;2;0.7547169811320755;265;false;2
tensorflow\contrib\distributions\python\ops\bijectors\absolute_value.py;Ian Langmore          ;22;16.417910447761194;A. Unique TensorFlower;113;84.32835820895522;134;false;2
tensorflow\contrib\distributions\python\ops\bijectors\affine.py;Joshua V. Dillon      ;22;5.459057071960298;A. Unique TensorFlower;382;94.78908188585608;403;false;2
tensorflow\contrib\distributions\python\ops\bijectors\affine_linear_operator.py;Joshua V. Dillon      ;22;9.523809523809524;A. Unique TensorFlower;210;90.9090909090909;231;false;2
tensorflow\contrib\distributions\python\ops\bijectors\chain.py;Joshua V. Dillon      ;22;13.095238095238095;A. Unique TensorFlower;147;87.5;168;false;2
