File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;File Lines;Learning;NbOthors
tensorflow\contrib\batching\python\ops\batch_ops.py;Christopher Olston    ;125;91.24087591240875;Alexandre Passos      ;5;3.6496350364963503;A. Unique TensorFlower;9;6.569343065693431;137;false;3
tensorflow\contrib\bayesflow\python\ops\hmc_impl.py;A. Unique TensorFlower;101;8.523206751054852;Joshua V. Dillon      ;1084;91.47679324894514;Ian Langmore          ;2;0.16877637130801687;1185;false;3
tensorflow\contrib\bayesflow\python\ops\monte_carlo.py;Ian Langmore          ;27;75;A. Unique TensorFlower;3;8.333333333333334;Olivia Nordquist      ;8;22.22222222222222;36;false;3
tensorflow\contrib\cloud\python\ops\bigquery_reader_ops.py;A. Unique TensorFlower;148;98.66666666666667;4d55397500            ;2;1.3333333333333333;Taehoon Lee           ;2;1.3333333333333333;150;false;3
tensorflow\contrib\compiler\jit.py;A. Unique TensorFlower;66;55.932203389830505;Justine Tunney        ;4;3.389830508474576;Eugene Brevdo         ;50;42.3728813559322;118;false;3
tensorflow\contrib\copy_graph\__init__.py;A. Unique TensorFlower;21;72.41379310344827;Brennan Saeta         ;4;13.793103448275861;Martin Wicke          ;6;20.689655172413794;29;false;3
tensorflow\contrib\crf\__init__.py;A. Unique TensorFlower;40;83.33333333333333;Jonathan Hseu         ;5;10.416666666666666;Martin Wicke          ;5;10.416666666666666;48;false;3
tensorflow\contrib\data\python\ops\error_ops.py;A. Unique TensorFlower;67;81.70731707317073;Derek Murray          ;7;8.536585365853659;Jiri Simsa            ;10;12.195121951219512;82;false;3
tensorflow\contrib\data\python\ops\readers.py;A. Unique TensorFlower;194;93.71980676328502;Jiri Simsa            ;11;5.314009661835748;Derek Murray          ;4;1.932367149758454;207;false;3
tensorflow\contrib\data\python\ops\shuffle_ops.py;Saurabh Saxena;52;43.333333333333336;Jiri Simsa    ;68;56.666666666666664;Derek Murray  ;2;1.6666666666666667;120;false;3
tensorflow\contrib\distributions\python\__init__.py;A. Unique TensorFlower;1;5.2631578947368425;Eugene Brevdo         ;14;73.6842105263158;Martin Wicke          ;6;31.57894736842105;19;false;3
tensorflow\contrib\distributions\python\ops\deterministic.py;Ian Langmore    ;380;98.7012987012987;Eugene Brevdo   ;2;0.5194805194805194;Joshua V. Dillon;5;1.2987012987012987;385;false;3
tensorflow\contrib\distributions\python\ops\mvn_diag_plus_low_rank.py;Joshua V. Dillon;248;97.25490196078431;Ian Langmore    ;7;2.7450980392156863;Eugene Brevdo   ;2;0.7843137254901961;255;false;3
tensorflow\contrib\distributions\python\ops\mvn_full_covariance.py;Ian Langmore    ;182;97.32620320855615;Joshua V. Dillon;4;2.1390374331550803;Eugene Brevdo   ;3;1.6042780748663101;187;false;3
tensorflow\contrib\distributions\python\ops\mvn_linear_operator.py;Joshua V. Dillon;305;88.92128279883381;Ian Langmore    ;31;9.037900874635568;Eugene Brevdo   ;9;2.623906705539359;343;false;3
tensorflow\contrib\distributions\python\ops\mvn_tril.py;Joshua V. Dillon;203;95.30516431924883;Eugene Brevdo   ;5;2.347417840375587;Ian Langmore    ;7;3.2863849765258215;213;false;3
tensorflow\contrib\distributions\python\ops\normal_conjugate_posteriors.py;A. Unique TensorFlower;1;0.6802721088435374;Eugene Brevdo         ;106;72.10884353741497;Joshua V. Dillon      ;42;28.571428571428573;147;false;3
tensorflow\contrib\distributions\python\ops\vector_diffeomixture.py;Joshua V. Dillon;813;84.59937565036421;Eugene Brevdo   ;7;0.72840790842872;Ian Langmore    ;143;14.880332986472425;961;false;3
tensorflow\contrib\distributions\python\ops\vector_exponential_linear_operator.py;Ian Langmore    ;279;97.21254355400697;Eugene Brevdo   ;4;1.3937282229965158;Joshua V. Dillon;6;2.0905923344947737;287;false;3
tensorflow\contrib\distributions\python\ops\bijectors\conditional_bijector.py;Eugene Brevdo         ;20;36.36363636363637;Joshua V. Dillon      ;3;5.454545454545454;A. Unique TensorFlower;34;61.81818181818182;55;false;3
tensorflow\contrib\eager\python\evaluator.py;A. Unique TensorFlower;369;99.46091644204851;Justine Tunney        ;2;0.5390835579514824;brett koonce          ;2;0.5390835579514824;371;false;3
tensorflow\contrib\estimator\__init__.py;Mustafa Ispir         ;30;56.60377358490566;A. Unique TensorFlower;21;39.62264150943396;Igor Saprykin         ;4;7.547169811320755;53;false;3
tensorflow\contrib\factorization\__init__.py;A. Unique TensorFlower;41;89.1304347826087;Wei Ho                ;5;10.869565217391305;Benoit Steiner        ;2;4.3478260869565215;46;false;3
tensorflow\contrib\factorization\python\ops\wals.py;A. Unique TensorFlower;603;99.6694214876033;Alexandre Passos      ;2;0.3305785123966942;Chris Hoyean Song     ;2;0.3305785123966942;605;false;3
tensorflow\contrib\framework\python\framework\graph_util.py;A. Unique TensorFlower;127;76.50602409638554;Sourabh Bajaj         ;28;16.867469879518072;Jiongyan Zhang        ;13;7.831325301204819;166;false;3
tensorflow\contrib\framework\python\ops\accumulate_n_v2.py;Benoit Steiner        ;107;96.3963963963964;cclauss               ;2;1.8018018018018018;A. Unique TensorFlower;4;3.6036036036036037;111;false;3
tensorflow\contrib\framework\python\ops\ops.py;A. Unique TensorFlower;71;97.26027397260275;Jonathan Hseu         ;2;2.73972602739726;Taehoon Lee           ;2;2.73972602739726;73;false;3
tensorflow\contrib\fused_conv\python\ops\fused_conv2d_bias_activation_op.py;Yangzihao Wang        ;42;38.888888888888886;Benoit Steiner        ;2;1.8518518518518519;A. Unique TensorFlower;66;61.111111111111114;108;false;3
tensorflow\contrib\gan\python\train.py;A. Unique TensorFlower;1026;98.93924783027965;Jianwei Xie           ;10;0.9643201542912246;Sourabh Bajaj         ;3;0.2892960462873674;1037;false;3
tensorflow\contrib\gan\python\estimator\python\gan_estimator_impl.py;A. Unique TensorFlower   ;293;97.66666666666667;Raghuraman Krishnamoorthi;2;0.6666666666666666;Dandelion Man?           ;7;2.3333333333333335;300;false;3
tensorflow\contrib\gan\python\eval\python\classifier_metrics_impl.py;A. Unique TensorFlower;533;90.49235993208829;Michael Case          ;24;4.074702886247878;Surya Bhupatiraju     ;34;5.772495755517827;589;false;3
tensorflow\contrib\grid_rnn\python\__init__.py;A. Unique TensorFlower;1;5.555555555555555;Vijay Vasudevan       ;17;94.44444444444444;Illia Polosukhin      ;2;11.11111111111111;18;false;3
tensorflow\contrib\grid_rnn\python\ops\__init__.py;A. Unique TensorFlower;1;5.555555555555555;Vijay Vasudevan       ;17;94.44444444444444;Illia Polosukhin      ;2;11.11111111111111;18;false;3
tensorflow\contrib\integrate\__init__.py;Stephan Hoyer         ;26;81.25;A. Unique TensorFlower;4;12.5;Martin Wicke          ;4;12.5;32;false;3
tensorflow\contrib\keras\api\keras\layers\__init__.py;Francois Chollet;54;36.486486486486484;Yifei Feng      ;93;62.83783783783784;Jonathan Hseu   ;3;2.027027027027027;148;false;3
tensorflow\contrib\kfac\python\ops\op_queue.py;A. Unique TensorFlower;67;97.10144927536231;Derek Murray          ;2;2.898550724637681;Benoit Steiner        ;2;2.898550724637681;69;false;3
tensorflow\contrib\labeled_tensor\__init__.py;Stephan Hoyer         ;137;97.16312056737588;Martin Wicke          ;2;1.4184397163120568;A. Unique TensorFlower;4;2.8368794326241136;141;false;3
tensorflow\contrib\labeled_tensor\python\ops\ops.py;Stephan Hoyer         ;1127;87.97814207650273;A. Unique TensorFlower;154;12.021857923497267;Jonathan Hseu         ;2;0.156128024980484;1281;false;3
tensorflow\contrib\layers\python\layers\__init__.py;A. Unique TensorFlower;34;94.44444444444444;Illia Polosukhin      ;2;5.555555555555555;Benoit Steiner        ;2;5.555555555555555;36;false;3
tensorflow\contrib\layers\python\ops\sparse_ops.py;Illia Polosukhin      ;52;22.90748898678414;Eugene Brevdo         ;2;0.8810572687224669;A. Unique TensorFlower;175;77.09251101321586;227;false;3
tensorflow\contrib\learn\python\learn\datasets\synthetic.py;Jonathan Hseu;177;81.19266055045871;Yifei Feng   ;41;18.807339449541285;cclauss      ;2;0.9174311926605505;218;false;3
tensorflow\contrib\learn\python\learn\estimators\logistic_regressor.py;Wei Ho                ;38;22.352941176470587;A. Unique TensorFlower;132;77.6470588235294;Taehoon Lee           ;2;1.1764705882352942;170;false;3
