File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;File Lines;Learning;NbOthors
tensorflow\compiler\xla\python\xla_client.py;Roy Frostig           ;775;66.46655231560892;Chris Leary           ;188;16.123499142367066;A. Unique TensorFlower;204;17.495711835334475;ManHyuk               ;2;0.17152658662092624;1166;false;4
tensorflow\contrib\all_reduce\python\all_reduce.py;A. Unique TensorFlower;855;99.4186046511628;Benoit Steiner        ;2;0.23255813953488372;Rajendra arora        ;2;0.23255813953488372;Justin Lebar          ;4;0.46511627906976744;860;false;4
tensorflow\contrib\bayesflow\python\ops\monte_carlo_impl.py;Olivia Nordquist      ;215;57.48663101604278;A. Unique TensorFlower;2;0.5347593582887701;Jonathan Hseu         ;2;0.5347593582887701;Joshua V. Dillon      ;158;42.24598930481283;374;false;4
tensorflow\contrib\cudnn_rnn\__init__.py;Xiaoqiang Zheng     ;19;35.84905660377358;Skye Wanderman-Milne;16;30.18867924528302;James Qin           ;19;35.84905660377358;Martin Wicke        ;2;3.7735849056603774;53;false;4
tensorflow\contrib\cudnn_rnn\python\layers\cudnn_rnn.py;James Qin             ;547;97.85330948121646;Katherine Wu          ;4;0.7155635062611807;A. Unique TensorFlower;8;1.4311270125223614;Adam Roberts          ;3;0.5366726296958855;559;false;4
tensorflow\contrib\data\python\ops\batching.py;A. Unique TensorFlower;295;70.74340527577938;Jiri Simsa            ;112;26.85851318944844;Jianwei Xie           ;2;0.47961630695443647;Derek Murray          ;11;2.6378896882494005;417;false;4
tensorflow\contrib\data\python\ops\grouping.py;A. Unique TensorFlower;187;83.85650224215247;Jiri Simsa            ;31;13.90134529147982;Sergei Lebedev        ;2;0.8968609865470852;Derek Murray          ;6;2.690582959641256;223;false;4
tensorflow\contrib\data\python\ops\interleave_ops.py;Brennan Saeta         ;141;60.51502145922747;A. Unique TensorFlower;6;2.575107296137339;Jiri Simsa            ;72;30.901287553648068;Derek Murray          ;17;7.296137339055794;233;false;4
tensorflow\contrib\data\python\ops\scan_ops.py;Derek Murray          ;174;88.77551020408163;Jiri Simsa            ;20;10.204081632653061;A. Unique TensorFlower;2;1.0204081632653061;Eugene Brevdo         ;3;1.530612244897959;196;false;4
tensorflow\contrib\deprecated\__init__.py;Dan Mané              ;65;59.63302752293578;Alan Yee              ;31;28.440366972477065;A. Unique TensorFlower;8;7.339449541284404;Martin Wicke          ;8;7.339449541284404;109;false;4
tensorflow\contrib\distributions\python\ops\conditional_transformed_distribution.py;Eugene Brevdo         ;117;54.166666666666664;Joshua V. Dillon      ;65;30.09259259259259;Ian Langmore          ;34;15.74074074074074;A. Unique TensorFlower;3;1.3888888888888888;216;false;4
tensorflow\contrib\distributions\python\ops\distribution_util.py;A. Unique TensorFlower;252;51.851851851851855;Joshua V. Dillon      ;49;10.08230452674897;Ian Langmore          ;185;38.065843621399175;Eugene Brevdo         ;3;0.6172839506172839;486;false;4
tensorflow\contrib\distributions\python\ops\geometric.py;A. Unique TensorFlower;185;88.0952380952381;Eugene Brevdo         ;3;1.4285714285714286;Yifei Feng            ;22;10.476190476190476;Ian Langmore          ;3;1.4285714285714286;210;false;4
tensorflow\contrib\distributions\python\ops\gumbel.py;A. Unique TensorFlower;162;71.68141592920354;Eugene Brevdo         ;4;1.7699115044247788;Joshua V. Dillon      ;60;26.548672566371682;Ian Langmore          ;3;1.3274336283185841;226;false;4
tensorflow\contrib\distributions\python\ops\inverse_gamma.py;A. Unique TensorFlower;122;40.939597315436245;Eugene Brevdo         ;14;4.697986577181208;Joshua V. Dillon      ;160;53.691275167785236;Ian Langmore          ;5;1.6778523489932886;298;false;4
tensorflow\contrib\distributions\python\ops\logistic.py;A. Unique TensorFlower;165;72.68722466960352;Eugene Brevdo         ;4;1.7621145374449338;Joshua V. Dillon      ;58;25.550660792951543;Ian Langmore          ;3;1.3215859030837005;227;false;4
tensorflow\contrib\distributions\python\ops\negative_binomial.py;A. Unique TensorFlower;170;89.00523560209425;Eugene Brevdo         ;3;1.5706806282722514;Ian Langmore          ;3;1.5706806282722514;Joshua V. Dillon      ;18;9.424083769633508;191;false;4
tensorflow\contrib\distributions\python\ops\poisson.py;A. Unique TensorFlower;77;41.84782608695652;Eugene Brevdo         ;11;5.978260869565218;Joshua V. Dillon      ;96;52.17391304347826;Ian Langmore          ;3;1.6304347826086956;184;false;4
tensorflow\contrib\distributions\python\ops\vector_laplace_linear_operator.py;Ian Langmore          ;282;96.24573378839591;A. Unique TensorFlower;2;0.6825938566552902;Eugene Brevdo         ;6;2.04778156996587;Joshua V. Dillon      ;6;2.04778156996587;293;false;4
tensorflow\contrib\distributions\python\ops\bijectors\__init__.py;Joshua V. Dillon      ;63;79.74683544303798;A. Unique TensorFlower;11;13.924050632911392;Ian Langmore          ;5;6.329113924050633;Eugene Brevdo         ;3;3.7974683544303796;79;false;4
tensorflow\contrib\eager\python\saver.py;A. Unique TensorFlower;132;72.92817679558011;brett koonce          ;2;1.1049723756906078;Asim Shankar          ;35;19.337016574585636;Allen Lavoie          ;15;8.287292817679559;181;false;4
tensorflow\contrib\estimator\python\estimator\extenders.py;Mustafa Ispir         ;335;99.11242603550296;A. Unique TensorFlower;2;0.591715976331361;Patrick Nguyen        ;2;0.591715976331361;ManHyuk               ;2;0.591715976331361;338;false;4
tensorflow\contrib\framework\python\framework\__init__.py;A. Unique TensorFlower;24;77.41935483870968;Martin Wicke          ;3;9.67741935483871;Benoit Steiner        ;2;6.451612903225806;Illia Polosukhin      ;5;16.129032258064516;31;false;4
tensorflow\contrib\graph_editor\subgraph.py;A. Unique TensorFlower;633;94.76047904191617;Patrick Nguyen        ;31;4.640718562874252;Jonathan Hseu         ;5;0.7485029940119761;Taehoon Lee           ;2;0.2994011976047904;668;false;4
tensorflow\contrib\graph_editor\transform.py;A. Unique TensorFlower;653;98.04804804804805;Jonathan Hseu         ;2;0.3003003003003003;Patrick Nguyen        ;10;1.5015015015015014;Skye Wanderman-Milne  ;4;0.6006006006006006;666;false;4
tensorflow\contrib\graph_editor\util.py;A. Unique TensorFlower;509;92.04339963833635;Patrick Nguyen        ;30;5.424954792043399;Alexandre Passos      ;3;0.5424954792043399;Jonathan Hseu         ;14;2.5316455696202533;553;false;4
tensorflow\contrib\grid_rnn\__init__.py;A. Unique TensorFlower;1;3.5714285714285716;Vijay Vasudevan       ;18;64.28571428571429;Illia Polosukhin      ;10;35.714285714285715;Zafar Takhirov        ;2;7.142857142857143;28;false;4
tensorflow\contrib\image\python\ops\single_image_random_dot_stereograms.py;Patrick Nguyen        ;106;80.91603053435115;Derek Murray          ;3;2.2900763358778624;Yifei Feng            ;20;15.267175572519085;A. Unique TensorFlower;5;3.816793893129771;131;false;4
tensorflow\contrib\layers\python\layers\encoders.py;Illia Polosukhin;134;94.36619718309859;Eugene Brevdo   ;4;2.816901408450704;Jonathan Hseu   ;5;3.5211267605633805;Dan Ringwalt    ;2;1.408450704225352;142;false;4
tensorflow\contrib\layers\python\layers\utils.py;A. Unique TensorFlower;317;85.90785907859079;Sergio Guadarrama     ;44;11.924119241192411;Patrick Nguyen        ;2;0.5420054200542005;Jonathan Hseu         ;9;2.4390243902439024;369;false;4
tensorflow\contrib\learn\python\__init__.py;A. Unique TensorFlower;4;16.666666666666668;Vijay Vasudevan       ;18;75;Illia Polosukhin      ;3;12.5;Zafar Takhirov        ;2;8.333333333333334;24;false;4
tensorflow\contrib\learn\python\learn\export_strategy.py;David Soergel         ;75;76.53061224489795;Charles Nicholson     ;5;5.1020408163265305;A. Unique TensorFlower;18;18.367346938775512;Patrick Nguyen        ;3;3.061224489795918;98;false;4
tensorflow\contrib\learn\python\learn\datasets\__init__.py;A. Unique TensorFlower;34;30.90909090909091;Illia Polosukhin      ;31;28.181818181818183;Jonathan Hseu         ;33;30;Yifei Feng            ;15;13.636363636363637;110;false;4
tensorflow\contrib\learn\python\learn\estimators\composable_model.py;A. Unique TensorFlower;370;93.90862944162437;Justine Tunney        ;13;3.299492385786802;Lukasz Kaiser         ;11;2.7918781725888326;nagachika             ;3;0.7614213197969543;394;false;4
