File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;File Lines;Learning;NbOthors
tensorflow\contrib\distributions\python\ops\chi2.py;A. Unique TensorFlower;62;49.6;Vijay Vasudevan       ;2;1.6;Joshua V. Dillon      ;46;36.8;Eugene Brevdo         ;11;8.8;Ian Langmore          ;8;6.4;125;false;5
tensorflow\contrib\distributions\python\ops\mixture.py;Eugene Brevdo         ;335;68.08943089430895;A. Unique TensorFlower;104;21.13821138211382;Joshua V. Dillon      ;52;10.56910569105691;Ian Langmore          ;3;0.6097560975609756;Patrick Nguyen        ;2;0.4065040650406504;492;false;5
tensorflow\contrib\distributions\python\ops\onehot_categorical.py;A. Unique TensorFlower;182;70.8171206225681;Joshua V. Dillon      ;68;26.459143968871594;Eugene Brevdo         ;5;1.9455252918287937;Ian Langmore          ;3;1.1673151750972763;Martin Wicke          ;3;1.1673151750972763;257;false;5
tensorflow\contrib\distributions\python\ops\quantized_distribution.py;Ian Langmore          ;300;58.93909626719057;Eugene Brevdo         ;87;17.092337917485267;Joshua V. Dillon      ;102;20.039292730844792;Jonathan Hseu         ;2;0.3929273084479371;A. Unique TensorFlower;22;4.322200392927308;509;false;5
tensorflow\contrib\distributions\python\ops\vector_student_t.py;Joshua V. Dillon      ;231;96.25;A. Unique TensorFlower;5;2.0833333333333335;Eugene Brevdo         ;3;1.25;Shanqing Cai          ;2;0.8333333333333334;Ian Langmore          ;3;1.25;240;false;5
tensorflow\contrib\eager\python\metrics_impl.py;A. Unique TensorFlower;296;85.30259365994236;Alexandre Passos      ;18;5.187319884726225;Sergio Guadarrama     ;23;6.628242074927954;Sourabh Bajaj         ;2;0.5763688760806917;Mustafa Ispir         ;12;3.4582132564841497;347;false;5
tensorflow\contrib\factorization\python\ops\gmm_ops.py;A. Unique TensorFlower;398;78.96825396825396;Justine Tunney        ;104;20.634920634920636;Alexandre Passos      ;2;0.3968253968253968;Dan Ringwalt          ;2;0.3968253968253968;Benoit Steiner        ;2;0.3968253968253968;504;false;5
tensorflow\contrib\ffmpeg\__init__.py;A. Unique TensorFlower;25;69.44444444444444;Geoffrey Irving       ;5;13.88888888888889;Sourabh Bajaj         ;2;5.555555555555555;Yong Tang             ;3;8.333333333333334;Andrew Selle          ;5;13.88888888888889;36;false;5
tensorflow\contrib\framework\python\ops\__init__.py;A. Unique TensorFlower;27;87.09677419354838;Wei Ho                ;2;6.451612903225806;Eugene Brevdo         ;2;6.451612903225806;Christoph Boeddeker   ;2;6.451612903225806;Dan Ringwalt          ;2;6.451612903225806;31;false;5
tensorflow\contrib\graph_editor\select.py;A. Unique TensorFlower;693;89.30412371134021;Martin Wicke          ;2;0.25773195876288657;Patrick Nguyen        ;72;9.278350515463918;Jonathan Hseu         ;9;1.1597938144329898;Taehoon Lee           ;4;0.5154639175257731;776;false;5
tensorflow\contrib\image\python\ops\image_ops.py;Dan Ringwalt          ;283;55.16569200779727;Rohan Jain            ;3;0.5847953216374269;Benoit Steiner        ;192;37.42690058479532;A. Unique TensorFlower;37;7.212475633528265;Jonathan Hseu         ;2;0.3898635477582846;513;false;5
tensorflow\contrib\layers\python\layers\summaries.py;A. Unique TensorFlower;131;79.8780487804878;Illia Polosukhin      ;5;3.048780487804878;Justine Tunney        ;13;7.926829268292683;Dan Mané              ;15;9.146341463414634;Martin Wicke          ;4;2.4390243902439024;164;false;5
