File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;File Lines;Learning;NbOthors
tensorflow\contrib\bayesflow\__init__.py;A. Unique TensorFlower;5;8.928571428571429;Eugene Brevdo         ;22;39.285714285714285;Benoit Steiner        ;3;5.357142857142857;Joshua V. Dillon      ;20;35.714285714285715;Ian Langmore          ;4;7.142857142857143;Martin Wicke          ;7;12.5;56;false;6
tensorflow\contrib\cmake\tools\create_def_file.py;Martin Wicke          ;111;64.91228070175438;Michael Case          ;4;2.3391812865497075;Benoit Steiner        ;5;2.9239766081871346;Patrick Nguyen        ;50;29.239766081871345;Alexandre Passos      ;2;1.1695906432748537;A. Unique TensorFlower;4;2.3391812865497075;171;false;6
tensorflow\contrib\copy_graph\python\util\copy_elements.py;A. Unique TensorFlower;201;78.515625;Skye Wanderman-Milne  ;3;1.171875;Yifei Feng            ;35;13.671875;Mark Daoust           ;16;6.25;Illia Polosukhin      ;2;0.78125;Frank Chen            ;4;1.5625;256;false;6
tensorflow\contrib\crf\python\ops\crf.py;A. Unique TensorFlower;498;96.32495164410058;Eugene Brevdo         ;3;0.5802707930367504;Justine Tunney        ;4;0.7736943907156673;Patrick Nguyen        ;4;0.7736943907156673;Yifei Feng            ;11;2.127659574468085;Sourabh Bajaj         ;2;0.38684719535783363;517;false;6
tensorflow\contrib\distributions\python\ops\relaxed_bernoulli.py;A. Unique TensorFlower;162;79.41176470588235;Joshua V. Dillon      ;32;15.686274509803921;Eugene Brevdo         ;3;1.4705882352941178;Taehoon Lee           ;2;0.9803921568627451;Ian Langmore          ;3;1.4705882352941178;Rohan Jain            ;7;3.4313725490196076;204;false;6
tensorflow\contrib\distributions\python\ops\relaxed_onehot_categorical.py;A. Unique TensorFlower;333;80.04807692307692;Joshua V. Dillon      ;68;16.346153846153847;Eugene Brevdo         ;5;1.2019230769230769;Patrick Nguyen        ;10;2.4038461538461537;Ian Langmore          ;3;0.7211538461538461;Yukun Chen            ;2;0.4807692307692308;416;false;6
tensorflow\contrib\distributions\python\ops\shape.py;A. Unique TensorFlower;373;76.12244897959184;Eugene Brevdo         ;5;1.0204081632653061;Jonathan Hseu         ;38;7.755102040816326;Joshua V. Dillon      ;73;14.89795918367347;Ian Langmore          ;3;0.6122448979591837;Taehoon Lee           ;3;0.6122448979591837;490;false;6
tensorflow\contrib\distributions\python\ops\wishart.py;A. Unique TensorFlower;508;76.16191904047976;Eugene Brevdo         ;15;2.2488755622188905;Joshua V. Dillon      ;138;20.689655172413794;Jonathan Hseu         ;6;0.8995502248875562;Olivia Nordquist      ;2;0.29985007496251875;Ian Langmore          ;3;0.4497751124437781;667;false;6
tensorflow\contrib\eager\python\tfe.py;Alexandre Passos      ;70;58.8235294117647;A. Unique TensorFlower;16;13.445378151260504;Shanqing Cai          ;18;15.126050420168067;Akshay Agrawal        ;7;5.882352941176471;Asim Shankar          ;4;3.361344537815126;Allen Lavoie          ;9;7.563025210084033;119;false;6
tensorflow\contrib\factorization\python\ops\clustering_ops.py;A. Unique TensorFlower;722;93.28165374677003;Justine Tunney        ;41;5.297157622739018;Derek Murray          ;4;0.5167958656330749;Alexandre Passos      ;7;0.9043927648578811;Yukun Chen            ;3;0.3875968992248062;Jonathan Hseu         ;2;0.25839793281653745;774;false;6
tensorflow\contrib\factorization\python\ops\factorization_ops.py;A. Unique TensorFlower;866;87.38647830474268;Derek Murray          ;4;0.4036326942482341;Justine Tunney        ;116;11.70534813319879;Alexandre Passos      ;6;0.6054490413723511;Dandelion Mané        ;2;0.20181634712411706;Shanqing Cai          ;2;0.20181634712411706;991;false;6
tensorflow\contrib\framework\python\ops\arg_scope.py;A. Unique TensorFlower;172;81.13207547169812;Sergio Guadarrama     ;17;8.018867924528301;Martin Wicke          ;9;4.245283018867925;Yifei Feng            ;9;4.245283018867925;Charles Nicholson     ;6;2.830188679245283;Patrick Nguyen        ;4;1.8867924528301887;212;false;6
tensorflow\contrib\graph_editor\reroute.py;A. Unique TensorFlower;417;82.73809523809524;Andrew Selle          ;30;5.9523809523809526;Jonathan Hseu         ;11;2.1825396825396823;Patrick Nguyen        ;11;2.1825396825396823;Dan Ringwalt          ;36;7.142857142857143;Vijay Vasudevan       ;4;0.7936507936507936;504;false;6
tensorflow\contrib\grid_rnn\python\ops\grid_rnn_cell.py;A. Unique TensorFlower;4;0.6015037593984962;Illia Polosukhin      ;169;25.413533834586467;Eugene Brevdo         ;150;22.55639097744361;Dan Ringwalt          ;342;51.42857142857143;Jianwei Xie           ;3;0.45112781954887216;Patrick Nguyen        ;2;0.3007518796992481;665;false;6
