File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;Othor7;LineOthor7;Contribution7;File Lines;Learning;NbOthors
tensorflow\contrib\cudnn_rnn\python\ops\cudnn_rnn_ops.py;Xiaoqiang Zheng       ;221;13.675742574257425;James Qin             ;1281;79.26980198019803;Derek Murray          ;3;0.18564356435643564;Yao Zhang             ;109;6.7450495049504955;Eugene Brevdo         ;2;0.12376237623762376;A. Unique TensorFlower;2;0.12376237623762376;ManHyuk               ;4;0.24752475247524752;1616;false;7
tensorflow\contrib\data\python\ops\dataset_ops.py;Derek Murray          ;470;68.01736613603474;A. Unique TensorFlower;145;20.984081041968164;Brennan Saeta         ;39;5.643994211287988;Jiri Simsa            ;21;3.0390738060781475;Eugene Brevdo         ;18;2.6049204052098407;Rajendra arora        ;2;0.2894356005788712;Frank Chen            ;2;0.2894356005788712;691;false;7
tensorflow\contrib\eager\python\datasets.py;Asim Shankar          ;83;39.15094339622642;Rohan Jain            ;34;16.037735849056602;A. Unique TensorFlower;2;0.9433962264150944;Derek Murray          ;86;40.56603773584906;Alexandre Passos      ;4;1.8867924528301887;Allen Lavoie          ;4;1.8867924528301887;Yifei Feng            ;5;2.358490566037736;212;false;7
tensorflow\contrib\factorization\python\ops\gmm.py;A. Unique TensorFlower;162;88.52459016393442;Shanqing Cai          ;10;5.46448087431694;Justine Tunney        ;6;3.278688524590164;Mustafa Ispir         ;2;1.092896174863388;Martin Wicke          ;2;1.092896174863388;Benoit Steiner        ;5;2.73224043715847;Dandelion Man?        ;2;1.092896174863388;183;false;7
tensorflow\contrib\ffmpeg\ffmpeg_ops.py;A. Unique TensorFlower;51;45.535714285714285;Geoffrey Irving       ;5;4.464285714285714;Sourabh Bajaj         ;2;1.7857142857142858;Yong Tang             ;23;20.535714285714285;Rohan Jain            ;5;4.464285714285714;William Chargin       ;29;25.892857142857142;Vijay Vasudevan       ;3;2.6785714285714284;112;false;7
tensorflow\contrib\framework\python\framework\checkpoint_utils.py;A. Unique TensorFlower;239;79.40199335548172;Zongheng Yang         ;4;1.3289036544850499;Jonathan Hseu         ;3;0.9966777408637874;Illia Polosukhin      ;37;12.29235880398671;Patrick Nguyen        ;17;5.647840531561462;Taehoon Lee           ;2;0.6644518272425249;Martin Wicke          ;5;1.6611295681063123;301;false;7
tensorflow\contrib\layers\python\ops\sparse_feature_cross_op.py;A. Unique TensorFlower;111;86.71875;Rohan Jain            ;4;3.125;Derek Murray          ;3;2.34375;Eugene Brevdo         ;8;6.25;Jonathan Hseu         ;2;1.5625;Andrew Selle          ;2;1.5625;Vijay Vasudevan       ;4;3.125;128;false;7
tensorflow\contrib\learn\python\learn\estimators\__init__.py;A. Unique TensorFlower;296;88.88888888888889;Illia Polosukhin      ;10;3.003003003003003;Martin Wicke          ;7;2.1021021021021022;Mustafa Ispir         ;7;2.1021021021021022;Zakaria Haque         ;12;3.6036036036036037;David Soergel         ;2;0.6006006006006006;Wei Ho                ;5;1.5015015015015014;333;false;7
tensorflow\contrib\learn\python\learn\learn_io\data_feeder.py;A. Unique TensorFlower;388;43.40044742729307;Vijay Vasudevan       ;45;5.033557046979865;Illia Polosukhin      ;165;18.456375838926174;Martin Wicke          ;17;1.9015659955257271;Yifei Feng            ;40;4.47427293064877;Andrew Harp           ;236;26.39821029082774;Derek Murray          ;9;1.0067114093959733;894;false;7
tensorflow\contrib\metrics\__init__.py;A. Unique TensorFlower;126;90;Andrew Selle          ;3;2.142857142857143;Martin Wicke          ;5;3.5714285714285716;Stephan Hoyer         ;3;2.142857142857143;Patrick Nguyen        ;3;2.142857142857143;Illia Polosukhin      ;3;2.142857142857143;Benoit Steiner        ;3;2.142857142857143;140;false;7
