File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;Othor7;LineOthor7;Contribution7;Othor8;LineOthor8;Contribution8;File Lines;Learning;NbOthors
tensorflow\__init__.py;A. Unique TensorFlower;1;2.380952380952381;Manjunath Kudlur      ;17;40.476190476190474;Benoit Steiner        ;4;9.523809523809524;Vijay Vasudevan       ;5;11.904761904761905;Yifei Feng            ;2;4.761904761904762;Derek Murray          ;2;4.761904761904762;Mark Daoust           ;4;9.523809523809524;Patrick Nguyen        ;14;33.333333333333336;42;false;8
tensorflow\contrib\data\__init__.py;Derek Murray          ;38;52.054794520547944;Asim Shankar          ;3;4.109589041095891;Eugene Brevdo         ;5;6.8493150684931505;A. Unique TensorFlower;17;23.28767123287671;Saurabh Saxena        ;4;5.47945205479452;Jiri Simsa            ;8;10.95890410958904;Frank Chen            ;3;4.109589041095891;Brennan Saeta         ;2;2.73972602739726;73;false;8
tensorflow\contrib\distributions\python\ops\binomial.py;A. Unique TensorFlower;122;42.95774647887324;Eugene Brevdo         ;43;15.140845070422536;Joshua V. Dillon      ;114;40.140845070422536;Patrick Nguyen        ;2;0.704225352112676;Ian Langmore          ;3;1.056338028169014;Taehoon Lee           ;2;0.704225352112676;Andreas Solleder      ;2;0.704225352112676;Yifei Feng            ;3;1.056338028169014;284;false;8
tensorflow\contrib\labeled_tensor\python\ops\core.py;Stephan Hoyer         ;1150;96.15384615384616;A. Unique TensorFlower;33;2.759197324414716;Taehoon Lee           ;4;0.33444816053511706;Jonathan Hseu         ;6;0.5016722408026756;Andreas Solleder      ;2;0.16722408026755853;Chris Hoyean Song     ;2;0.16722408026755853;Andrew Selle          ;4;0.33444816053511706;Martin Wicke          ;2;0.16722408026755853;1196;false;8
tensorflow\contrib\layers\python\layers\initializers.py;A. Unique TensorFlower;119;77.77777777777777;Dan Ringwalt          ;4;2.6143790849673203;zhongzyd              ;2;1.3071895424836601;Asim Shankar          ;3;1.9607843137254901;Patrick Nguyen        ;17;11.11111111111111;Chris Filo Gorgolewski;3;1.9607843137254901;Wei Ho                ;3;1.9607843137254901;Neal Wu               ;9;5.882352941176471;153;false;8
tensorflow\contrib\layers\python\layers\regularizers.py;A. Unique TensorFlower;139;68.13725490196079;Mustafa Ispir         ;5;2.450980392156863;Wei Ho                ;36;17.647058823529413;Jonathan Hseu         ;8;3.9215686274509802;Lukasz Kaiser         ;10;4.901960784313726;Andrew Selle          ;2;0.9803921568627451;Taehoon Lee           ;2;0.9803921568627451;Sergio Guadarrama     ;9;4.411764705882353;204;false;8
tensorflow\contrib\layers\python\layers\target_column.py;A. Unique TensorFlower;424;80.76190476190476;Zakaria Haque         ;20;3.8095238095238093;Justine Tunney        ;54;10.285714285714286;Eugene Brevdo         ;3;0.5714285714285714;David Soergel         ;17;3.238095238095238;Andrew Selle          ;4;0.7619047619047619;Phil Stahlfeld        ;3;0.5714285714285714;Martin Wicke          ;7;1.3333333333333333;525;false;8
tensorflow\contrib\learn\python\learn\learn_runner.py;Martin Wicke          ;28;9.688581314878892;Jianwei Xie           ;189;65.39792387543253;Mustafa Ispir         ;21;7.26643598615917;Wei Ho                ;9;3.114186851211073;A. Unique TensorFlower;43;14.878892733564014;Jonathan Hseu         ;2;0.6920415224913494;Mike Case             ;2;0.6920415224913494;Benoit Steiner        ;2;0.6920415224913494;289;false;8
tensorflow\contrib\learn\python\learn\ops\losses_ops.py;A. Unique TensorFlower;39;52;Vijay Vasudevan       ;8;10.666666666666666;Martin Wicke          ;11;14.666666666666666;Illia Polosukhin      ;12;16;Alan Yee              ;6;8;Lukasz Kaiser         ;2;2.6666666666666665;Jonathan Hseu         ;2;2.6666666666666665;Andrew Selle          ;2;2.6666666666666665;75;false;8
tensorflow\contrib\lookup\lookup_ops.py;A. Unique TensorFlower;387;56.496350364963504;Yutaka Leon           ;282;41.167883211678834;Makoto Uchida         ;2;0.291970802919708;Jianwei Xie           ;2;0.291970802919708;Jonathan Hseu         ;5;0.7299270072992701;Frank Chen            ;3;0.43795620437956206;Lukasz Kaiser         ;8;1.167883211678832;RJ Ryan               ;3;0.43795620437956206;685;false;8
tensorflow\contrib\metrics\python\ops\histogram_ops.py;A. Unique TensorFlower;212;87.24279835390946;Martin Wicke          ;3;1.2345679012345678;Olivia Nordquist      ;8;3.292181069958848;Jonathan Hseu         ;8;3.292181069958848;Lukasz Kaiser         ;11;4.526748971193416;Nathan Silberman      ;2;0.823045267489712;Eugene Brevdo         ;3;1.2345679012345678;Andrew Selle          ;3;1.2345679012345678;243;false;8
tensorflow\contrib\tpu\python\tpu\tpu.py;Frank Chen            ;457;72.42472266244057;Russell Power         ;25;3.9619651347068148;Jacques Pienaar       ;31;4.91283676703645;Jianwei Xie           ;9;1.4263074484944533;Peter Hawkins         ;103;16.323296354992078;Eugene Brevdo         ;3;0.4754358161648177;Skye Wanderman-Milne  ;4;0.6339144215530903;A. Unique TensorFlower;6;0.9508716323296355;631;false;8
tensorflow\contrib\training\python\training\bucket_ops.py;Eugene Brevdo         ;301;70.82352941176471;A. Unique TensorFlower;48;11.294117647058824;Justine Tunney        ;34;8;Lukasz Kaiser         ;25;5.882352941176471;Shanqing Cai          ;2;0.47058823529411764;Matthew Schulkind     ;13;3.0588235294117645;Dan Mané              ;6;1.411764705882353;Jonathan Hseu         ;3;0.7058823529411765;425;false;8
tensorflow\python\framework\constant_op.py;Olivia Nordquist      ;120;40;A. Unique TensorFlower;128;42.666666666666664;Mark Daoust           ;2;0.6666666666666666;Anna R                ;3;1;Alexandre Passos      ;15;5;Andrew Harp           ;8;2.6666666666666665;Shanqing Cai          ;22;7.333333333333333;David Soergel         ;9;3;300;false;8
