File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;Othor3;LineOthor3;Contribution3;Othor4;LineOthor4;Contribution4;Othor5;LineOthor5;Contribution5;Othor6;LineOthor6;Contribution6;Othor7;LineOthor7;Contribution7;Othor8;LineOthor8;Contribution8;Othor9;LineOthor9;Contribution9;File Lines;Learning;NbOthors
tensorflow\contrib\framework\python\framework\tensor_util.py;A. Unique TensorFlower;229;76.84563758389261;Eugene Brevdo         ;39;13.087248322147651;Andrew Harp           ;2;0.6711409395973155;Nathan Silberman      ;16;5.369127516778524;Martin Wicke          ;2;0.6711409395973155;Alan Yee              ;5;1.6778523489932886;Jonathan Hseu         ;3;1.0067114093959733;Lukasz Kaiser         ;8;2.684563758389262;Thomas Schumm         ;2;0.6711409395973155;298;false;9
tensorflow\contrib\layers\python\layers\embedding_ops.py;A. Unique TensorFlower;808;89.1832229580574;Eugene Brevdo         ;20;2.207505518763797;Mustafa Ispir         ;28;3.0905077262693155;Lukasz Kaiser         ;6;0.6622516556291391;Andrew Selle          ;5;0.5518763796909493;Jonathan Hseu         ;5;0.5518763796909493;Geoffrey Irving       ;6;0.6622516556291391;Illia Polosukhin      ;34;3.752759381898455;Taehoon Lee           ;2;0.22075055187637968;906;false;9
tensorflow\contrib\learn\python\learn\datasets\mnist.py;A. Unique TensorFlower;68;24.372759856630825;Illia Polosukhin      ;141;50.53763440860215;Shanqing Cai          ;11;3.942652329749104;Vincent Vanhoucke     ;2;0.7168458781362007;Patrick Nguyen        ;13;4.659498207885305;Rohan Jain            ;36;12.903225806451612;Yifei Feng            ;8;2.867383512544803;Vijay Vasudevan       ;3;1.075268817204301;Jonathan Hseu         ;5;1.7921146953405018;279;false;9
tensorflow\contrib\opt\__init__.py;Yifei Feng            ;12;21.05263157894737;A. Unique TensorFlower;29;50.87719298245614;Andrew Selle          ;2;3.508771929824561;Martin Wicke          ;7;12.280701754385966;Frank Li              ;2;3.508771929824561;JxKing                ;6;10.526315789473685;Benoit Steiner        ;2;3.508771929824561;Jonathan Hseu         ;3;5.2631578947368425;Taehoon Lee           ;2;3.508771929824561;57;false;9
tensorflow\contrib\rnn\__init__.py;A. Unique TensorFlower;41;39.80582524271845;Jianwei Xie           ;19;18.446601941747574;Mark Daoust           ;6;5.825242718446602;Eugene Brevdo         ;32;31.067961165048544;James Qin             ;2;1.941747572815534;Dan Ringwalt          ;3;2.912621359223301;Benoit Steiner        ;3;2.912621359223301;Patrick Nguyen        ;2;1.941747572815534;Martin Wicke          ;3;2.912621359223301;103;false;9
tensorflow\contrib\training\python\training\evaluation.py;Nathan Silberman      ;344;74.45887445887446;Justine Tunney        ;18;3.896103896103896;Jianwei Xie           ;10;2.1645021645021645;A. Unique TensorFlower;79;17.0995670995671;Benoit Steiner        ;2;0.4329004329004329;Stephan Hoyer         ;4;0.8658008658008658;Jonathan Hseu         ;2;0.4329004329004329;Shanqing Cai          ;8;1.7316017316017316;Mustafa Ispir         ;3;0.6493506493506493;462;false;9
tensorflow\contrib\training\python\training\sequence_queueing_state_saver.py;Eugene Brevdo         ;1198;63.859275053304906;A. Unique TensorFlower;444;23.66737739872068;Justine Tunney        ;190;10.127931769722814;Jonathan Hseu         ;36;1.9189765458422174;Jianwei Xie           ;5;0.26652452025586354;Patrick Nguyen        ;4;0.21321961620469082;Vijay Vasudevan       ;2;0.10660980810234541;Dan Mané              ;3;0.15991471215351813;Benoit Steiner        ;2;0.10660980810234541;1876;false;9
tensorflow\python\eager\execute.py;Mark Heffernan        ;184;75.10204081632654;Ali Yahya             ;2;0.8163265306122449;Alexandre Passos      ;27;11.020408163265307;A. Unique TensorFlower;21;8.571428571428571;Igor Ganichev         ;2;0.8163265306122449;Shanqing Cai          ;3;1.2244897959183674;Akshay Modi           ;2;0.8163265306122449;Henry Tan             ;6;2.4489795918367347;Akshay Agrawal        ;6;2.4489795918367347;245;false;9
tensorflow\python\eager\function.py;Mark Heffernan        ;301;29.308666017526775;Alexandre Passos      ;399;38.85102239532619;Asim Shankar          ;9;0.8763388510223953;Akshay Agrawal        ;146;14.216163583252191;Henry Tan             ;6;0.5842259006815969;A. Unique TensorFlower;56;5.452775073028238;Eugene Brevdo         ;84;8.179162609542356;Sergio Guadarrama     ;7;0.6815968841285297;Shanqing Cai          ;27;2.629016553067186;1027;false;9
tensorflow\python\estimator\model_fn.py;Jianwei Xie           ;206;60.946745562130175;Martin Wicke          ;3;0.8875739644970414;A. Unique TensorFlower;21;6.21301775147929;Anna R                ;4;1.183431952662722;Jonathan Hseu         ;9;2.662721893491124;Mustafa Ispir         ;44;13.017751479289942;Benoit Steiner        ;5;1.4792899408284024;David Soergel         ;22;6.508875739644971;Vijay Vasudevan       ;32;9.467455621301776;338;false;9
tensorflow\python\estimator\run_config.py;Jianwei Xie           ;678;88.05194805194805;Martin Wicke          ;2;0.2597402597402597;Michael Case          ;4;0.5194805194805194;Anna R                ;3;0.38961038961038963;Jonathan Hseu         ;73;9.480519480519481;A. Unique TensorFlower;10;1.2987012987012987;Mustafa Ispir         ;2;0.2597402597402597;Lukasz Kaiser         ;4;0.5194805194805194;Andrew Harp           ;2;0.2597402597402597;770;false;9
tensorflow\python\framework\common_shapes.py;A. Unique TensorFlower;245;34.07510431154381;Manjunath Kudlur      ;301;41.863699582753824;Vijay Vasudevan       ;12;1.6689847009735743;Naman Kamra           ;2;0.27816411682892905;Xiaoqiang Zheng       ;57;7.927677329624478;Illia Polosukhin      ;10;1.3908205841446453;Jianmin Chen          ;54;7.510431154381084;Asim Shankar          ;44;6.119610570236439;Jonathan Hseu         ;2;0.27816411682892905;719;false;9
tensorflow\python\framework\load_library.py;A. Unique TensorFlower;61;59.22330097087379;Yifei Feng            ;3;2.912621359223301;Patrick Nguyen        ;3;2.912621359223301;Anna R                ;4;3.883495145631068;Manjunath Kudlur      ;25;24.271844660194176;Skye Wanderman-Milne  ;5;4.854368932038835;Vijay Vasudevan       ;2;1.941747572815534;Asim Shankar          ;5;4.854368932038835;Jonathan Hseu         ;3;2.912621359223301;103;false;9
tensorflow\python\ops\ctc_ops.py;A. Unique TensorFlower;50;17.36111111111111;Eugene Brevdo         ;203;70.48611111111111;Andrew Harp           ;10;3.4722222222222223;Anna R                ;5;1.7361111111111112;Benoit Steiner        ;2;0.6944444444444444;Jonathan Hseu         ;7;2.4305555555555554;Vijay Vasudevan       ;9;3.125;Alexandre Passos      ;5;1.7361111111111112;Dan Ringwalt          ;5;1.7361111111111112;288;false;9
tensorflow\python\ops\rnn_cell_impl.py;Patrick Nguyen        ;83;6.4591439688715955;Martin Wicke          ;8;0.622568093385214;Eugene Brevdo         ;1056;82.17898832684826;A. Unique TensorFlower;106;8.249027237354085;Anna R                ;12;0.933852140077821;Adria Puigdomenech    ;8;0.622568093385214;Ali Yahya             ;7;0.5447470817120622;James Qin             ;8;0.622568093385214;Jianwei Xie           ;5;0.38910505836575876;1285;false;9
tensorflow\python\ops\tensor_array_ops.py;A. Unique TensorFlower;83;8.358509566968781;Eugene Brevdo         ;289;29.103726082578046;Alexandre Passos      ;2;0.2014098690835851;Akshay Agrawal        ;599;60.32225579053374;Yuan Yu               ;10;1.0070493454179255;Anna R                ;3;0.3021148036253776;Jonathan Hseu         ;4;0.4028197381671702;Derek Murray          ;8;0.8056394763343404;Lukasz Kaiser         ;3;0.3021148036253776;993;false;9
tensorflow\python\tools\freeze_graph.py;A. Unique TensorFlower;126;33.1578947368421;Pete Warden           ;91;23.94736842105263;Vijay Vasudevan       ;69;18.157894736842106;Justine Tunney        ;12;3.1578947368421053;Hee Jung Ryu          ;32;8.421052631578947;Michael Case          ;27;7.105263157894737;Martin Wicke          ;12;3.1578947368421053;Jonathan Hseu         ;8;2.1052631578947367;Sanjoy Das            ;11;2.8947368421052633;380;false;9
